"Session Start","Length","Site","Game","Stake","Table","Hands","My C Won","Raise First","PF Squeeze","Limp/Raise","Limp/Call","PF AFq","CC 2Bet PF","Call Steal","3Bet PF","3Bet Steal","2Bet T","Call T 2Bet","CBet T","Donk T","2Bet R","Call R CBet","CBet R","Donk R","Probe R","River AFq","Turn AFq"
"2023/10/05 12:26 pm","0:39","Ignition","Holdem","$0.05 NL (6 max)","30596697","43","$2.09","6.25","0.00","-","-","9.09","0.00","0.00","5.88","0.00","0.00","-","-","0.00","0.00","-","-","100.00","-","50.00","0.00"
"2023/05/05 12:37 am","0:05","Ignition","Holdem","$0.05 NL (6 max)","29416453","7","-$5.12","0.00","100.00","-","-","14.29","0.00","0.00","16.67","0.00","-","-","100.00","-","-","-","-","-","-","-","100.00"
"2023/04/26  7:35 pm","0:44","Ignition","Holdem","$0.05 NL (6 max)","29349359","52","-$1.70","28.57","-","-","-","16.00","0.00","22.22","0.00","0.00","0.00","0.00","-","-","0.00","-","-","-","-","0.00","0.00"
"2023/04/26  7:22 pm","0:55","Ignition","Holdem","$0.05 NL (6 max)","29347648","65","-$1.16","33.33","0.00","-","-","22.39","0.00","8.33","15.63","16.67","0.00","-","100.00","-","0.00","-","100.00","0.00","-","50.00","66.67"
"2023/04/26  7:21 pm","1:00","Ignition","Holdem","$0.05 NL (6 max)","29349162","65","-$9.93","25.00","0.00","-","-","11.11","0.00","0.00","0.00","0.00","33.33","100.00","-","0.00","100.00","-","-","66.67","-","100.00","50.00"
"2023/04/26  7:20 pm","1:02","Ignition","Holdem","$0.05 NL (6 max)","29348352","74","$2.03","20.45","0.00","-","-","14.29","36.36","22.22","4.55","11.11","0.00","-","0.00","0.00","0.00","-","-","100.00","-","60.00","33.33"
"2023/04/01 12:48 pm","0:18","Ignition","Holdem","$0.05 NL (6 max)","29140398","20","-$0.98","33.33","0.00","-","-","15.00","0.00","0.00","0.00","0.00","100.00","-","-","0.00","-","-","-","-","-","100.00","66.67"
"2023/04/01 11:19 am","1:26","Ignition","Holdem","$0.05 NL (6 max)","29140063","111","$5.94","24.19","0.00","-","-","16.51","6.25","14.29","5.13","7.14","28.57","-","-","0.00","50.00","-","-","0.00","-","66.67","37.50"
"2023/04/01 11:18 am","1:48","Ignition","Holdem","$0.05 NL (6 max)","29140207","117","-$0.50","27.12","0.00","-","-","15.97","5.56","41.67","2.27","0.00","20.00","-","100.00","0.00","50.00","100.00","-","0.00","-","75.00","50.00"
"2023/04/01 11:18 am","1:47","Ignition","Holdem","$0.05 NL (6 max)","29139792","142","-$1.36","29.23","0.00","-","-","20.15","0.00","9.52","7.69","4.76","0.00","-","75.00","0.00","0.00","100.00","-","0.00","0.00","42.86","60.00"
"2023/04/01 11:17 am","1:49","Ignition","Holdem","$0.05 NL (6 max)","29140058","155","$3.07","23.60","0.00","-","-","15.23","5.56","10.71","3.77","7.14","25.00","-","100.00","0.00","50.00","-","-","0.00","-","57.14","57.14"
"2023/03/29 12:44 am","0:31","Ignition","Holdem","$0.05 NL (6 max)","29112404","38","$2.16","16.67","0.00","-","-","13.89","0.00","33.33","10.00","0.00","33.33","-","-","0.00","0.00","-","-","0.00","-","33.33","60.00"
"2023/03/28 11:33 pm","1:41","Ignition","Holdem","$0.05 NL (6 max)","29109870","105","$9.58","24.49","14.29","-","-","18.10","0.00","44.44","16.13","0.00","0.00","-","50.00","0.00","33.33","-","100.00","0.00","-","66.67","62.50"
"2023/03/28 11:31 pm","1:43","Ignition","Holdem","$0.05 NL (6 max)","29112052","104","-$0.51","16.67","0.00","-","-","11.11","7.14","0.00","0.00","0.00","0.00","-","50.00","0.00","25.00","-","-","-","-","50.00","28.57"
