"Hand #","Marked","Site","Date","Stake","My C Won","Final Hand","Hole Cards","PF Act","Flop","F Act","Turn","T Act","River","R Act","Winner","Winning Hand","Pot","Rake","Position","Hand"
"4539177662","","Ignition","2023/10/10  9:19 pm","$0.05 NL (6 max)","-$0.05","(folded preflop)","9070000","F","91314","","2","","12","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","Two Pair, Aces and Kings","$3.15","$0.15","BB","97o"
"4539177535","","Ignition","2023/10/10  9:19 pm","$0.05 NL (6 max)","-$0.10","(folded preflop)","10090000","RF","0","","0","","0","","P1-ea8908ce0a8bb3cb8918d2d6d2df5692","(did not show hand)","$0.27","$0.00","EP","T9s"
"4539177144","","Ignition","2023/10/10  9:18 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","12070000","F","0","","0","","0","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","(did not show hand)","$0.04","$0.00","MP","Q7s"
"4539176984","","Ignition","2023/10/10  9:18 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","7050000","F","31308","","13","","4","","P3-eb5ea5861cb98885cf9b69fdc0df3922","Two Pair, Kings and Eights","$1.43","$0.07","EP","75o"
"4539176384","","Ignition","2023/10/10  9:17 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","14080000","F","140702","","0","","0","","P2-61abaf8ff80674586cb0447e1af49550","(did not show hand)","$0.47","$0.02","MP","A8o"
"4539176199","","Ignition","2023/10/10  9:17 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","12070000","F","111211","","14","","0","","P6-04ac607e0db371fbf08011ef2d9782bd","(did not show hand)","$0.30","$0.01","CO","Q7o"
"4539175684","","Ignition","2023/10/10  9:16 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","14100000","F","110608","","2","","2","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","Two Pair, Jacks and Twos","$1.83","$0.09","CO","ATo"
"4539175587","","Ignition","2023/10/10  9:15 pm","$0.05 NL (6 max)","$0.17","(did not show hand)","14120000","R","0","","0","","0","","Hero","(did not show hand)","$0.22","$0.00","BTN","AQs"
"4539175109","","Ignition","2023/10/10  9:14 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","8070000","F","120206","","14","","0","","P4-16644d1ee41990e9a5d55a1f82a07b4e","(did not show hand)","$0.17","$0.00","BTN","87o"
"4539174718","","Ignition","2023/10/10  9:14 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","11040000","F","0","","0","","0","","P6-e9ec2aa677dfcd8ed48ebd10d9e743bc","(did not show hand)","$0.12","$0.00","SB","J4o"
"4539174625","","Ignition","2023/10/10  9:14 pm","$0.05 NL (6 max)","-$0.02","(folded preflop)","7020000","F","100403","","7","","0","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","(did not show hand)","$0.61","$0.03","SB","72o"
"4539174436","","Ignition","2023/10/10  9:13 pm","$0.05 NL (6 max)","$0.02","(did not show hand)","10040000","","0","","0","","0","","Hero","(did not show hand)","$0.04","$0.00","BB","T4o"
"4539173995","","Ignition","2023/10/10  9:12 pm","$0.05 NL (6 max)","-$0.15","(folded turn)","11090000","C","30308","X","14","F","0","","P4-6602d83bd7483fd93753758b80f4538b","(did not show hand)","$0.30","$0.01","BB","J9o"
"4539173875","","Ignition","2023/10/10  9:12 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","14070000","F","130405","","14","","0","","P5-bcb18f49e238404e0351f532fceade8c","(did not show hand)","$0.10","$0.00","EP","A7o"
"4539173192","","Ignition","2023/10/10  9:11 pm","$0.05 NL (6 max)","-$0.10","(folded river)","7050000","R","20206","X","14","X","9","F","P4-16644d1ee41990e9a5d55a1f82a07b4e","(did not show hand)","$0.25","$0.01","MP","75s"
"4539172803","","Ignition","2023/10/10  9:10 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","4020000","F","130805","","5","","11","","[Split Pot]","Two Pair, Kings and Fives","$1.90","$0.09","EP","42s"
"4539172646","","Ignition","2023/10/10  9:10 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","9060000","F","0","","0","","0","","P3-931a15e7b1e82b0f51ad4bae2d7080f9","(did not show hand)","$0.04","$0.00","MP","96o"
"4539172380","","Ignition","2023/10/10  9:09 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","11050000","F","0","","0","","0","","P2-7a86de1bbdd5cba9f2ecbf4195091f37","(did not show hand)","$0.30","$0.00","CO","J5s"
"4539172037","","Ignition","2023/10/10  9:09 pm","$0.05 NL (6 max)","$0.00","(folded preflop)","11060000","F","70813","","14","","5","","P1-ea8908ce0a8bb3cb8918d2d6d2df5692","One Pair, Sevens","$0.22","$0.01","BTN","J6o"
